Community name,Community type,Region,Country,Location
National Health Laboratory Service,Research Software Project,Africa,South Africa,Johannesburg
National Institute for Occupational Health,Research Software Project,Africa,South Africa,"Johannesburg, Constitution Hill"
National Biobank,Research Software Project,Africa,South Africa,Johannesburg
South African Vaccine Producers,Research Software Project,Africa,South Africa,Johannesburg
Agricultural Research Center Egypt,Research Software Project,Africa,Egypt,
South Arican Weather Service,Research Software Project,Africa,South Africa,Johannesburg
Information Research Center Scientific and Technical,Research Software Project,Africa,Algeria,
African Astronomical society,Community,Africa,Multiple countries,Cape Town
Agriculture Research Council,Research centre,Africa,South Africa,Mbombela
Agriculture Research Council,Research centre,Africa,South Africa,Weavind Park
Agriculture Research Council,Research centre,Africa,South Africa,Ondersepoort
Agriculture Research Council,Research centre,Africa,South Africa,Irene
Agriculture Research Council,Research centre,Africa,South Africa,Stellenbosch
Agriculture Research Council,Research centre,Africa,South Africa,Potchefstroom
Agriculture Research Council,Research centre,Africa,South Africa,Kroondal
Agriculture Research Council,Research centre,Africa,South Africa,KwaMhlanga
Agriculture Research Council,Research centre,Africa,South Africa,Bethlehem
Agriculture Research Council,Research centre,Africa,South Africa,Arcadia
Alliance for Collaboration on Climate and Earth Systems Science ,Research Project,Africa,South Africa,
Southern Africa Network for Biosciences,Research Project,Africa,Angola,
Southern Africa Network for Biosciences,Research Project,Africa,Botswana,
Southern Africa Network for Biosciences,Research Project,Africa,Malawi,
Southern Africa Network for Biosciences,Research Project,Africa,Mauritius,
Southern Africa Network for Biosciences,Research Project,Africa,Mozambique,
Southern Africa Network for Biosciences,Research Project,Africa,Namibia,
Southern Africa Network for Biosciences,Research Project,Africa,Lesotho,
Southern Africa Network for Biosciences,Research Project,Africa,South Africa,
Southern Africa Network for Biosciences,Research Project,Africa,Seychelles,
Southern Africa Network for Biosciences,Research Project,Africa,Eswatini,
Southern Africa Network for Biosciences,Research Project,Africa,Zambia,
Southern Africa Network for Biosciences,Research Project,Africa,Zimbabwe,
Biosafety South Africa,Research centre,Africa,South Africa,"Cape Town, Sommerset West"
Botswana Institute for Technology Research and Innovation ,Research centre,Africa,Botswana,Gaberone
CapeBio Technologies,Research centre,Africa,South Africa,"Pretoria, Centurion"
Future Africa,Training organisation,Africa,South Africa,"Pretoria, University of Pretoria"
Tanzania Educatoin and Research Network,,Africa,Tanzania,
Nuclear Medicine Research Infrastructure,Research centre,Africa,South Africa,"Pretoria, Capital park"
National Institute for Theoretical and Computational Sciences,Research Software community,Africa,South Africa,Stellenbosch University
National Institute for Theoretical and Computational Sciences,Research Software community,Africa,South Africa,University of the Witwatersrand
National Institute for Theoretical and Computational Sciences,Research Software community,Africa,South Africa,University of Kwazulu Natal
X-reality lab,Research organisation with strong research software focus,Africa,South Africa,"Pretoria, Hatfield"
National Advisory Council on Innovation ,Advisory body ,Africa,South Africa,"Pretoria, Lynwood"
DSI-NRF Center of excellence in Mathematical and Statistical Sciences ,Research centre,Africa,South Africa,"Johannesburg, University of the Witwatersrand"
DSI- nrf Center of excellence in food security ,Research Center ,Africa,South Africa,"Cape Town, University of the Western Cape"
Africa Business Intergration,Research software community,Africa,South Africa,Cape Town
Bioinformatics Hub of Kenya Initiative,Training provider,Africa,Kenya,Kenya
South African National Bioinformatics Institute,community,Africa,Africa,"Cape Town, University of the Western Cape"
Council for Scientific and Industrial Research,community,Africa,Africa,"Pretoria, Brummeria"
eResearch and Computational Biology Division,community,Africa,Africa,"Cape Town, University of Cape Town"
RSE at SUN,community,Africa,Africa,Stellenbosch
