Institution,Community name,Community type,Region,Country,Location,Lat,Long
National Institute for Theoretical and Computational Sciences,NITheCS,Research Software community,Africa,South Africa,WITS,-26.192884,28.030473
National Institute for Theoretical and Computational Sciences,NITheCS,Research Software community,Africa,South Africa,UKZN,-29.867422,30.980727
"X-reality lab,xrlab,Research organisation with strong research software focus,Africa,South Africa,""Pretoria, Hatfield"",-25.748733,28.238043"
"National Advisory Council on Innovation ,NACI,Advisory body ,Africa,South Africa,""Pretoria, Lynwood"",-25.764251,28.26728"
"DSI-NRF Center of excellence in Mathematical and Statistical Sciences ,CoE-MaSS,Research centre,Africa,South Africa,""Johannesburg, WITS"",-26.192884,28.030473"
"DSI- nrf Center of excellence in food security ,,Research Center ,Africa,South Africa,""Cape Town, University of the Western Cape"",,"
Africa Business Intergration,ABI,Research software community,Africa,South Africa,Cape Town,-33.918861,18.4233
Bioinformatics Hub of Kenya Initiative,BHKi,Training provider,Africa,Kenya,Kenya,-0.023559,37.906193
"South African National Bioinformatics Institute,,community,Africa,Africa,""Cape Town, UWC"",-33.93352,18.627958"
"Council for Scientific and Industrial Research,,community,Africa,Africa,""Pretoria, Brummeria"",-25.742126,28.285551"
"eResearch and Computational Biology Division,,community,Africa,Africa,""Cape Town, UCT"",-33.9545,18.4563"
RSE at SUN,,community,Africa,Africa,Stellenbosch,-33.932105,18.860152
