Name,Website,Initiatives_aims,Type,Other_information,Collector,Region,Country,Tag,Data_origin,Spec_location,Mapping_location,country_iso,Latitude,Longitude
Bioinformatics Hub of Kenya,https://bhki.org/,"BHKi aims at bridging the gap between well established and aspiring bioinformaticians through peer training and mentorship. They do so by enhancing collaborations, foster quality scientific research and innovations and promote sharing of data, skills and codes.",Community,NA,Caleb Kibet,Africa,Kenya,v2,ReSA mapping 2022,NA,Kenya,KEN,1,38
R-Ladies Nairobi,https://www.meetup.com/rladies-nairobi/,"This is a local chapter of R-Ladies Global ( https://www.rladies.org ), promotes gender diversity in the R community worldwide. They meetup in person or virtually to learn about the R programming language, algorithms and advanced tools.",Community,NA,Caleb Kibet,Africa,Kenya,v2,ReSA mapping 2022,NA,Kenya,KEN,1,38
Nairobi GNU/Linux Users Group,https://nairobilug.or.ke/,"A lively community of GNU/Linux enthusiasts mainly composed of Linux Administrators, Research High Performance HPC admins, and research software developers.",Community,NA,Caleb Kibet,Africa,Kenya,v2,ReSA mapping 2022,NA,Kenya,KEN,1,38
Blossom Academy,https://www.blossom.africa/about,Blossom Academy is the leading African provider of world-class data science courses.,Community,NA,Anthony Oko-Isu,Africa,Multiple countries,v2,ReSA mapping 2022,NA,Zambia,ZMB,-15,30
"African Institute for Mathematical Sciences (AIMS) 
AIMS-Next Einstein Initiative (AIMS-NEI) 
AIMS centres are located in Senegal, South Africa, Ghana, Rwanda and Cameroon",https://nexteinstein.org/,"The African Institute for Mathematical Sciences (AIMS) is a pan-African network of centres of excellence enabling Africa’s talented students to become innovators driving the continent’s scientific, educational and economic self-sufficiency. To implement its vision, AIMS targets the brightest young African students, shaping them as independent thinkers and problem-solvers capable of innovating and propelling the continent’s economic prosperity. Africa’s youth are at the heart of the innovation and transformation ecosystem, which consists of a set of academic and non-academic programs expertly tailored to provide AIMS learners with a unique post-graduate training experience on the continent.",Community,"Discover some of the highlights and impact of AIMS’ work across the African continent and beyond here https://nexteinstein.org/our-success-stories/ 

https://aims-senegal.org/
https://aimsammi.org/
https://aims.ac.rw/
https://aims.ac.za/
https://aims-cameroon.org/
https://aims.edu.gh",Anthony Oko-Isu,Africa,Multiple countries,v2,ReSA mapping 2022,NA,Zambia,ZMB,-15,30
Research Software and System Engineers of Africa,https://rsse.africa/,"Research Software and System Engineers of Africa,is an online community of research software engineers and system engineers.Its a platform that provides learning opportunities and harness collaborations of research software personnel in Africa.",Community,NA,Caleb Kibet,Africa,Multiple countries,v2,ReSA mapping 2022,NA,Zambia,ZMB,-15,30
H3ABioNet,https://www.h3abionet.org/,"H3ABioNet aims at developing bioinformatics capacity in Africa.They focus on: bioinformatics tool development, development of computational workflows, bioinformatics training and making their research software and workflows FAIR. The H3ABioNet has nodes all over Africa",Community,Their work has catalysed the application of best practices for software development including FAIR principles and open source.,Caleb Kibet,Africa,Multiple countries,v2,ReSA mapping 2022,NA,Zambia,ZMB,-15,30
African society for Bioinformatics and computational biology,https://www.asbcb.org/,"ASBCB is a society that is devoted to developing competence and expertise in bioinformatics and computational biology.Their objectives are; developing bioinformatics and computational biology nodes, facilitate access to bioinformatics and computational biology infrastructure which include research softwares used, and they promote bioinformatics and computational biology education.",Community,"Established in February 2004 at a meeting in Cape Town, South Africa, ASBCB serves as a non profit professional association and resource devoted to developing competence and expertise in bioinformatics and computational biology in Africa.",Caleb Kibet,Africa,Multiple countries,v2,ReSA mapping 2022,NA,Zambia,ZMB,-15,30
The East African Bioinformatics Training Network,https://eanbit.icipe.org/,"EANBiT is a collaborative network whose aim is to strengthen the application of bioinformatics in bioscience research.They achieve this through individual training, research mentorship and enhancing institutional capacity in Eastern Africa. The participants are taught on bioinformatics research software skills through a comprehensive curriculum that has been developed.",Community,related to H3ABioNet,Caleb Kibet,Africa,Multiple countries,v2,ReSA mapping 2022,NA,Zambia,ZMB,-15,30
Python Namibia,http://pynam.org,"To educate the public about the benefit in the use and understanding of the Python programming language. To create new generation of Python developers from as young as primary school learners. To organise, present and promote Python related conferences, workshop, meetings and events at venues within the Namibia. Support and promote Python related projects and events organised by PYNAM members
To support PYNAM members wishing to attend Python related conferences, meetings and events",Community,"Although not specifically stated, we actively involved in research software development in our trainings.",Jessica Upani,Africa,Namibia,v2,ReSA mapping 2022,NA,Namibia,NAM,-22,17
NCRST,https://ncrst.na,"Establish a national system that promotes, develops, coordinates and informs RSTI* towards a knowledge-based society *Research, Sciences, Technology, Innovation

Explanation: The emphasis is on creating a systematic approach that links and coordinates stakeholders in a delivery funnel towards achieving optimal RSTI relevant deliverables and in that process furthers meaningful progress towards a knowledge-based society (socio-economic system/society)",Community,"This also does not explicitly state its work with research software engineering but it is one of the biggest research organizations that promote research, innovation and development.",Jessica Upani,Africa,Namibia,v2,ReSA mapping 2022,NA,Namibia,NAM,-22,17
NUST (Division/Department of Research and Innovation),https://www.nust.na/?q=university-administration/dvcri/dvcri-main-functions,"The main focus is research and Innovation. The office also focuses on strengthening links with industry, communities and global partnerships to solicit opportunities for consultancies, applied research, technology development and transfer.",Training provider,NA,Jessica Upani,Africa,Namibia,v2,ReSA mapping 2022,NA,Namibia,NAM,-22,17
"Research, Innovation and Development (UNAM)",https://research.unam.edu.na,"– Manage and administer research grants, publications, postgraduate degrees, research ethics and external liaison and reporting.
– Promote and support innovation and entrepreneurship activities.",Training provider,It is a research division for the university.,Jessica Upani,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
Data Scientists Network (DSN-Data Science Nigeria),https://www.datasciencenigeria.org,"Train, mentor and inspire 100,000 Nigerian undergraduates and graduates to build new skills in Advanced Analytics/Data Science and create 1 million jobs/opportunities in data science/advanced analytics.
    Build a local data science/big data/AI ecosystem that will position Nigeria to become the outsourcing hub for international Data Science/Advanced Analytics/Big Data projects with opportunity to access 2-3% share of the estimated global Artificial intelligence GDP contribution of up to $15.7 trillion by 2030",Community,A collection of research Papers published by Data Science Nigeria https://github.com/DataScienceNigeria/Research-Papers-by-Data-Science-Nigeria,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
DSN AI+ COMMUNITIES,https://www.datasciencenigeria.org/ai-communities/,Our vision of having a million AI talents in 10 years is only possible as we are able to train and equip different groups of people across Africa. To effectively nurture and sustain our trained talents we have created the Data Science Nigeria AI+ Community to provide an enabling and collaborative platform with student and professional streams running physical and online engagements.,Community,NA,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
AI Saturday Lagos,https://www.aisaturdayslagos.com/,"learning community which promotes Artificial Intelligence (AI) in Lagos. We organize structured study groups around core AI fields like Machine Learning, Computer Vision (CV) and Natural Language Processing (NLP).",Community,NA,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
IndabaX Nigeria,https://indabaxng.github.io/,"Deep Learning Indaba is an annual meeting of the African Machine Learning community that aims to see over 2000 members of Africa’s artificial Intelligence community for a week-long event of teaching, research, exchange and debate around state of art in machine learning and artificial intelligence. ",Community,annual conference,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
AI Saturday Port Harcourt,https://www.linkedin.com/school/ai6ph/about/,AI community capacity building,Community,https://twitter.com/ai6ph and https://github.com/ai6ph,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
AI Saturday Ibadan,https://medium.com/@abono2000_6914/ai-saturdays-ibadan-an-awesome-week-two-experience-ba9531a78dc4,AI community capacity building,Community,https://twitter.com/aisaturdaysib,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
RAIN Nigeria,https://rainigeria.com,"Build intelligent machines, train, and certify youth on ultra-modern courses in automation, robotics, 3D printing, CNC machining, artificial intelligence (AI), data science, and machine learning. Equipped with a fully-functional robotics laboratory, unlimited internet access, and a peculiarly-conducive environment, we are primed to export next-generation solutions to the world.",Training provider,NA,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
National Center for Artificial Intelligence and Robotics – NITDA,https://nitda.gov.ng/ncair/,"Our role therefore is to develop, regulate and advise on Information technology in the country through regulatory standards, guidelines and policies. Additionally, NITDA is the clearing house for all IT projects and infrastructural development in the country. It is the prime Agency for e-government implementation, Internet governance and general IT development in Nigeria.",Community,https://nitda.gov.ng/mandate/ and https://nitda.gov.ng/background/,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
Machine Intelligence Research Group (MIRG)- UniLag,https://mirg.unilag.edu.ng/,"The Machine Intelligence Research Group (MIRG) is one of the research groups of the Department of Computer Sciences at the University of Lagos (UNILAG), Akoka, Yaba, Lagos, Nigeria.
The research group is interested in artificial intelligence and machine learning methodologies and their applications to real-life problems in science, medicine, engineering, industry, and commerce.",Community,https://mirg.unilag.edu.ng/about-us/,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
Google Developers Group Nigeria,https://gdg.community.dev/gdg-lagos/,"The GDG Lagos is a community of (and for) developers, designers, and tech enthusiasts. Experts and Newbies alike.",Community,NA,Anthony Oko-Isu,Africa,Nigeria,v2,ReSA mapping 2022,NA,Nigeria,NGA,10,8
UK-Nigeria Tech Hub,https://www.gov.uk/government/case-studies/uk-nigeria-tech-hub-developer-placement-programme,"The Developer Placement Programme was designed to reduce youth unemployment by providing a pathway for software developers (with existing relevant skills acquired either through a bootcamp or through MOOC [Massive Open Online Course - an open educational resource]) to gain employment within partner SMEs and tech startups, enabling these to scale their social impact products.

Launched in January 2021, the programme was immediately very popular - receiving 1767 applications from individuals, and 734 from companies wishing to participate. Following assessment of applicants’ knowledge of software languages, 100 developers were selected. Companies were required to have a senior engineer as part of their team, and were evaluated based on their positive societal, environmental or economic impact.

All programme participants completed a preparatory bootcamp before starting internships in February, which ran through until the end of April.",Community,"A case study upported by the UK gov, the program has finished in 2021.
The impact is:


    100 software developers digitally upskilled via a 3 month paid internship

    40 SMEs and tech startups digitally enabled",Anthony Oko-Isu,Africa,Multiple countries,v2,ReSA mapping 2022,NA,Zambia,ZMB,-15,30
South African National Bioinformatics Institute (SANBI),https://www.sanbi.ac.za,"To become a center of excellence, achieving the highest level in research and education in the global, African and South African context.",Community,NA,Jessica Upani,Africa,South Africa,v2,ReSA mapping 2022,NA,South Africa,ZAF,-29,24
Council for Scientific and Industrial Research,https://www.csir.co.za,"The objects of the CSIR are, through directed and particularly multi-disciplinary research and technological innovation, to foster, in the national interest and in fields which in its opinion should receive preference, industrial and scientific development, either by itself or in cooperation with principals from the private or public sectors, and thereby to contribute to the improvement of the quality of life of the people of the Republic, and to perform any other functions that may be assigned to the CSIR by or under this Act.",Community,"The CSIR undertakes directed, multidisciplinary research and technological innovation that contributes to the improved quality of life of South Africans.",Jessica Upani,Africa,South Africa,v2,ReSA mapping 2022,NA,South Africa,ZAF,-29,24
UCT eResearch,http://www.eresearch.uct.ac.za,"UCT eResearch is a distributed organisation that promotes the use of advanced information technologies to support innovative research practice. eResearch partners with research groups to accelerate and transform research, connecting them to the most appropriate services to support the research lifecycle.",Community,NA,Jessica Upani,Africa,South Africa,v2,ReSA mapping 2022,NA,South Africa,ZAF,-29,24
RSE at SUN,https://rse-at-sun.github.io/RSE-at-SUN/,"Research Software Engineering (RSE) Group at Stellenbosch University, South Africa",Community,NA,Paula Andrea Martinez,Africa,South Africa,v2,ReSA mapping 2022,NA,South Africa,ZAF,-29,24
Tanzania National Research and Education Network (TERNET),www.ternet.or.tz,Research and Education infrastructure support,National Research and Education Network,NA,Dr. Frank P. Seth,Africa,Tanzania,NA,World Science Forum 2022,NA,Tanzania,TZA,-6,35
Nuclear Medicine Research Infrastructure (NuMeRI),Www.sanumeri.co.za,Drug development for cancer or infectious diseases,Research organisation,NA,Drieke  Van der Merwe,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
National Institute for Theoretical and Computational Sciences (NITheCS),https://nithecs.ac.za/,"Our mission is to build human and research capacity in Theoretical and Computational Sciences and to enhance scientific innovation, transformation and socio-economic development.",Research software community,NA,René Kotze,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
TUT Research Project,TBC,Develop a decision making product software,Research software project,NA,Emanuel  Zeferino,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
X-reality lab,www.xrlab.co.za,Create custom virtual environment for practical training to close the gap of the lack of training equipment. Increase access to VR in the continent.,Research organisation,NA,Xolani Skosana,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
National Advisory Council on Innovation,https://www.naci.org.za/,Advice the minister and cabinet on science technology and innovation.,Advisory body,NA,Benny Nhlapho,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
DSI-NRF Center of excellence in mathematical and statistical sciences,https://www.wits.ac.za/coe-mass/about-us/,The DSI-NRF Centre of Excellence in Mathematical and Statistical Sciences (CoE-MaSS) was established on 1st April 2014 in order bring together areas of research excellence in the Mathematical Sciences and Statistics in South Africa.,Research organisation,NA,Norah  Khumalo,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
DST-NRF Centre of Excellence in Food Security,https://www.tut.ac.za/citsis/science/dst-nrf/about,To understate research to achieve a sustainable food system and realise food and nutrition for all.,Research organisation,NA,Carla Bernardo,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
Africa Machine Intelligence,https://www.researchgate.net/lab/Africa-Machine-Intelligence-Moloti-Nakampe,AI and IoT,Research software community,NA,Moloti Nakampe,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
"SAMRC Wastewater Surveillance and Research Programme
",https://www.samrc.ac.za/wbe/about.html,Use wastewater based epidemiology to monitor community health.,Research organisation,NA,Noluxabiso  Mangwana,Africa,South Africa,NA,World Science Forum 2022,NA,South Africa,ZAF,-29,24
DISEASE SCREENER,https://github.com/Mboalab/Open-Diseases-Screener-App,Tropical Disease diagnostics,Research software project,Our Research group is based with the MBOALAB in Cameroon but contributors work remotely,ELISEE JAFSIA,Africa,Cameroon,NA,World Science Forum 2022,NA,Cameroon,CMR,6,12
BarEl,www.barel.biz,To provide technological solutions to researchers in their research work,Research organisation,"TK Computers & Consultancy started in 2017. It provides statistical solutions, bio-statistics solutions, data analysis solutions, data collection solutions.",Thumbiko Shumba,Africa,Malawi,NA,RSSE Africa meetup,NA,Malawi,MWI,-13.5,34
Computational Biology division at the University of Cape Town (CBIO),http://www.cbio.uct.ac.za/,"The Computational Biology (CBIO) division at the University of Cape Town (UCT) is the centre of bioinformatics activities at the university. It forms part of the Department of Integrative Biomedical Sciences and is located within the Institute of Infectious Disease and Molecular Medicine (IDM), in the Faculty of Health Sciences. The division carries out research in a number of areas, and provides training and services in the discipline.",Research group,"The CBIO division at UCT leads H3ABioNet, an NIH-funded Pan African bioinformatics network for H3Africa.",Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Cape Town,South Africa,ZAF,-29,24
NWU Centre for Text Technology (CText),https://sadilar.org/index.php/en/about/sadilar-nodes/nwu-centre-for-text-technology-ctext,"As the official text node of SADiLaR, CTexT® focuses on the advancement of multilingualism and building indigenous South African languages. For under-resourced languages, text data isn’t as available as it is for English, for example, and yet this is needed if new technologies within big data and artificial intelligence (AI), responsive to the unique South African context, are to be developed.",Research group,SADiLaR Node. More about SADiLaR: https://sadilar.org/index.php/en/,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Potchefstroom,South Africa,ZAF,-29,24
South African Radio Astronomy Observatory (SARAO),https://www.sarao.ac.za/,"The South African Radio Astronomy Observatory (SARAO), a facility of the National Research Foundation, is responsible for managing all radio astronomy initiatives and facilities in South Africa, including the MeerKAT Radio Telescope in the Karoo, and the Geodesy and VLBI activities at the HartRAO facility. SARAO also coordinates the African Very Long Baseline Interferometry Network (AVN) for the eight SKA partner countries in Africa, as well as South Africa’s contribution to the infrastructure and engineering planning for the Square Kilometre Array Radio Telescope. To maximise the return on South Africa’s investment in radio astronomy, SARAO is managing programmes to create capacity in radio astronomy science and engineering research, and the technical capacity required to support site operations.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),"Cape Town, Klerefontein, Carnarvon, Hartebeesthoek",South Africa,ZAF,-29,24
African Institute for Mathematical Sciences (South Africa),https://aims.ac.za/,"The African Institute for Mathematical Sciences (AIMS) is a pan-African network of Centres of Excellence for post-graduate training in mathematical sciences, research and public engagement in Science, Technology, Engineering and Mathematics (STEM). AIMS is enabling Africa’s talented students to become innovators driving the continent’s scientific, educational and economic self-sufficiency.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Cape Town,South Africa,ZAF,-29,24
South African National Space Agency (SANSA),https://www.sansa.org.za/,"The research and work carried out at SANSA focuses on space science, engineering and technology that can promote development, build human capital and provide important national services. Much of this work involves monitoring the Earth and our surrounding environment, and using the collected data to ensure that navigation, communication technology and weather forecasting services function as intended.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),"Pretoria, Hermanus",South Africa,ZAF,-29,24
Inter-university Institute for Data Intensive Astronomy (IDIA),https://www.idia.ac.za/,The overarching goal of IDIA is to build within the South African university research community the capacity and expertise in data intensive research to enable global leadership on MeerKAT large survey science projects and large projects on other SKA pathfinder telescopes.,Research organisation,"The Inter-university Institute for Data Intensive Astronomy is a partnership of three South African universities, the Universities of Cape Town, of the Western Cape and of Pretoria as well as the South African Radio Astronomy Observatory.",Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Data Intensive Research Initiative of South Africa (DIRISA),https://www.dirisa.ac.za/,"Provide a range of research data management services including User Subscription, Data Management Planning, Data Deposit and DOI Minting",Research infrastructure,DIRISA IS is one of the components of the National Integrated Cyberinfrastructure System (NICIS) managed by CSIR,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Pretoria,South Africa,ZAF,-29,24
Centre for High Performance Computing (CHPC),https://www.chpc.ac.za/,"The CHPC is one of three primary pillars of the national cyber-infrastructure intervention supported by the Department of Science and Technology (DST). The South African National Research Network (SANReN) and the Data Intensive Research Infrastructure of South Africa (DIRISA) complement the CHPC through the provision of high-speed, high-bandwidth connectivity, and the effective curation of a variety of notably large and critical databases. The CHPC infrastructure is updated and maintained meticulously to comply with international standards.",Research infrastructure,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Cape Town,South Africa,ZAF,-29,24
Council for Scientific and Industrial Research (CSIR),https://www.csir.co.za/,"“The objects of the CSIR are, through directed and particularly multi-disciplinary research and technological innovation, to foster, in the national interest and in fields which in its opinion should receive preference, industrial and scientific development, either by itself or in co-operation with principals from the private or public sectors, and thereby to contribute to the improvement of the quality of life of the people of the Republic, and to perform any other functions that may be assigned to the CSIR by or under this Act.” (Scientific Research Council Act 46 of 1988, amended by Act 71 of 1990)",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Pretoria,South Africa,ZAF,-29,24
ZINDI,https://zindi.africa/,"Zindi is a social enterprise whose mission is to build the data science ecosystem in Africa. Our vision is for a vibrant community of data scientists across Africa, mobilized towards solving the region’s most pressing problems.",Community,NA,Nomalungelo Maphanga,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Zambia,ZMB,-15,30
"DSI-NRF Centre of Excellence in Epidemiological Modelling and Analysis
 (SACEMA)",https://www.sacema.org/,"SACEMA's mission is to improve health in Africa, and particularly South Africa, through epidemiological modelling and analysis. Trained in mathematics, biology, physics, statistics, and epidemiology, SACEMA researchers bridge disciplines to understand disease dynamics and improve real-world outcomes. This involves tackling complex health scenarios and developing tools that allow decision makers to navigate uncertainty. We work with a wide variety of health issues, including HIV, TB, vaccine-preventable diseases, emerging infections, cancer, and diabetes.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Stellenbosch,South Africa,ZAF,-29,24
South African Society for Bioinformatics (SASBi),http://sasbi.weebly.com/,"SASBi is a national association, conscious of its African and international context as it seeks to promote the discipline of bioinformatics in all its facets, locally, regionally and internationally. It is committed to excellence in the learning, teaching and research of the discipline and will strive to explore the applications of bioinformatics and computational biology in addressing the needs of the South African society.",Community,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Office of Astronomy for Development (OAD),https://www.astro4dev.org/,"The mission of the OAD is to help further the use of astronomy, including its practitioners, skills and infrastructures, as a tool for development by mobilizing the human and financial resources necessary in order to realize the field’s scientific, technological and cultural benefits to society.",Research organisation,"The OAD is a joint project of the International Astronomical Union (IAU) and the South African National Research Foundation (NRF) with the support of the Department of Science and Innovation (DSI). The OAD has established nine regional offices around the world – in Armenia, China, Colombia, Ethiopia, Jordan, Nigeria, Portugal, Thailand and Zambia. As of 2020, this has  grown to 11 Regional Offices, with the addition of Europe and North America.",Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Cape Town,South Africa,ZAF,-29,24
Research Software and Systems Engineers of Africa (RSSE Africa),https://rsse.africa/,"A forum for Research Software & Systems Engineers on the African continent that aims to share skills and opportunities and improve equity, diversity and inclusion within the research software and systems engineering (RSSE) space.",Community,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
